team_a_id,team_a_code,team_a_name,team_a_name_en,team_b_id,team_b_code,team_b_name,team_b_name_en,all_matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,competitive_matches,friendly_matches,neutral_matches,team_a_neutral_wins,team_b_neutral_wins,last_match_date,last_match_score,last_5_form_json,last_10_form_json
alg,ALG,阿尔及利亚,Algeria,egy,EGY,埃及,Egypt,23,8,9,6,28,29,18,5,7,3,1,2023-10-16T00:00:00Z,1-1,"[""D"",""D"",""L"",""W"",""L""]","[""D"",""D"",""L"",""W"",""L"",""W"",""W"",""D"",""L"",""W""]"
alg,ALG,阿尔及利亚,Algeria,eng,ENG,英格兰,England,1,0,1,0,0,0,1,0,1,0,0,2010-06-18T00:00:00Z,0-0,"[""D""]","[""D""]"
alg,ALG,阿尔及利亚,Algeria,esp,ESP,西班牙,Spain,1,0,0,1,0,3,1,0,1,0,1,1986-06-12T00:00:00Z,0-3,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,fra,FRA,法国,France,1,0,0,1,1,4,0,1,0,0,0,2001-10-06T00:00:00Z,4-1,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,ger,GER,德国,Germany,3,2,0,1,5,3,2,1,2,1,1,2014-06-30T00:00:00Z,2-1,"[""L"",""W"",""W""]","[""L"",""W"",""W""]"
alg,ALG,阿尔及利亚,Algeria,gha,GHA,加纳,Ghana,11,4,2,5,13,12,8,3,7,2,4,2022-01-05T00:00:00Z,3-0,"[""W"",""L"",""D"",""W"",""L""]","[""W"",""L"",""D"",""W"",""L"",""L"",""W"",""L"",""D"",""W""]"
alg,ALG,阿尔及利亚,Algeria,hai,HAI,海地,Haiti,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,irn,IRN,伊朗,IR Iran,3,2,0,1,4,3,0,3,2,1,1,2022-06-12T00:00:00Z,1-2,"[""W"",""L"",""W""]","[""W"",""L"",""W""]"
alg,ALG,阿尔及利亚,Algeria,irq,IRQ,伊拉克,Iraq,8,1,4,3,4,8,4,4,3,1,0,2025-12-09T00:00:00Z,2-0,"[""W"",""D"",""D"",""L"",""L""]","[""W"",""D"",""D"",""L"",""L"",""D"",""D"",""L""]"
alg,ALG,阿尔及利亚,Algeria,jor,JOR,约旦,Jordan,2,1,1,0,7,1,1,1,1,1,0,2004-05-30T00:00:00Z,1-1,"[""D"",""W""]","[""D"",""W""]"
alg,ALG,阿尔及利亚,Algeria,jpn,JPN,日本,Japan,1,0,0,1,1,2,1,0,0,0,0,1986-05-11T00:00:00Z,2-1,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,kor,KOR,韩国,Korea Republic,3,2,0,1,6,4,2,1,3,2,1,2014-06-22T00:00:00Z,2-4,"[""W"",""W"",""L""]","[""W"",""W"",""L""]"
alg,ALG,阿尔及利亚,Algeria,ksa,KSA,沙特阿拉伯,Saudi Arabia,6,2,2,2,8,8,0,6,1,0,1,2025-11-18T00:00:00Z,0-2,"[""W"",""L"",""D"",""D"",""L""]","[""W"",""L"",""D"",""D"",""L"",""W""]"
alg,ALG,阿尔及利亚,Algeria,mar,MAR,摩洛哥,Morocco,26,6,10,10,22,31,14,12,4,1,1,2021-12-11T00:00:00Z,2-2,"[""D"",""L"",""W"",""L"",""L""]","[""D"",""L"",""W"",""L"",""L"",""L"",""D"",""D"",""L"",""D""]"
alg,ALG,阿尔及利亚,Algeria,mex,MEX,墨西哥,Mexico,2,0,1,1,2,4,0,2,1,0,0,2020-10-13T00:00:00Z,2-2,"[""D"",""L""]","[""D"",""L""]"
alg,ALG,阿尔及利亚,Algeria,ned,NED,荷兰,Netherlands,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,nor,NOR,挪威,Norway,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,nzl,NZL,新西兰,New Zealand,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,pan,PAN,巴拿马,Panama,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,par,PAR,巴拉圭,Paraguay,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,por,POR,葡萄牙,Portugal,1,0,0,1,0,3,0,1,0,0,0,2018-06-07T00:00:00Z,3-0,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,qat,QAT,卡塔尔,Qatar,6,4,1,1,8,3,2,4,2,2,0,2021-12-15T00:00:00Z,1-2,"[""W"",""W"",""L"",""W"",""D""]","[""W"",""W"",""L"",""W"",""D"",""W""]"
alg,ALG,阿尔及利亚,Algeria,rsa,RSA,南非,South Africa,5,1,3,1,8,7,4,1,2,1,0,2024-03-26T00:00:00Z,3-3,"[""D"",""W"",""D"",""D"",""L""]","[""D"",""W"",""D"",""D"",""L""]"
alg,ALG,阿尔及利亚,Algeria,sco,SCO,苏格兰,Scotland,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
alg,ALG,阿尔及利亚,Algeria,sen,SEN,塞内加尔,Senegal,25,15,6,4,37,19,14,11,5,3,1,2023-09-12T00:00:00Z,0-1,"[""W"",""W"",""W"",""D"",""W""]","[""W"",""W"",""W"",""D"",""W"",""W"",""W"",""L"",""L"",""L""]"
alg,ALG,阿尔及利亚,Algeria,sui,SUI,瑞士,Switzerland,2,0,0,2,1,4,0,2,0,0,0,1986-05-06T00:00:00Z,2-0,"[""L"",""L""]","[""L"",""L""]"
alg,ALG,阿尔及利亚,Algeria,swe,SWE,瑞典,Sweden,6,0,1,5,4,15,0,6,0,0,0,2025-06-10T00:00:00Z,4-3,"[""L"",""L"",""D"",""L"",""L""]","[""L"",""L"",""D"",""L"",""L"",""L""]"
alg,ALG,阿尔及利亚,Algeria,tun,TUN,突尼斯,Tunisia,38,15,12,11,39,31,16,22,5,2,3,2023-06-20T00:00:00Z,1-1,"[""D"",""W"",""W"",""W"",""L""]","[""D"",""W"",""W"",""W"",""L"",""D"",""L"",""W"",""D"",""L""]"
alg,ALG,阿尔及利亚,Algeria,tur,TUR,土耳其,Turkiye,3,2,0,1,2,4,0,3,0,0,0,1979-02-28T00:00:00Z,0-1,"[""W"",""L"",""W""]","[""W"",""L"",""W""]"
alg,ALG,阿尔及利亚,Algeria,uru,URU,乌拉圭,Uruguay,2,1,1,0,1,0,0,2,1,0,0,2026-03-31T00:00:00Z,0-0,"[""D"",""W""]","[""D"",""W""]"
alg,ALG,阿尔及利亚,Algeria,usa,USA,美国,United States,1,0,0,1,0,1,1,0,1,0,1,2010-06-23T00:00:00Z,1-0,"[""L""]","[""L""]"
alg,ALG,阿尔及利亚,Algeria,uzb,UZB,乌兹别克斯坦,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,alg,ALG,阿尔及利亚,Algeria,1,1,0,0,4,3,0,1,1,1,0,2007-06-05T00:00:00Z,3-4,"[""W""]","[""W""]"
arg,ARG,阿根廷,Argentina,aus,AUS,澳大利亚,Australia,9,7,1,1,16,8,4,5,3,3,0,2023-06-15T00:00:00Z,2-0,"[""W"",""W"",""W"",""W"",""W""]","[""W"",""W"",""W"",""W"",""W"",""W"",""D"",""W"",""L""]"
arg,ARG,阿根廷,Argentina,aut,AUT,奥地利,Austria,2,1,1,0,6,2,0,2,0,0,0,1990-05-03T00:00:00Z,1-1,"[""D"",""W""]","[""D"",""W""]"
arg,ARG,阿根廷,Argentina,bel,BEL,比利时,Belgium,5,4,0,1,11,4,4,1,4,3,1,2014-07-05T00:00:00Z,1-0,"[""W"",""W"",""W"",""L"",""W""]","[""W"",""W"",""W"",""L"",""W""]"
arg,ARG,阿根廷,Argentina,bih,BIH,波黑,Bosnia and Herzegovina,3,3,0,0,9,1,1,2,2,2,0,2014-06-15T00:00:00Z,2-1,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,bra,BRA,巴西,Brazil,110,41,26,43,164,166,87,23,31,15,10,2025-03-25T00:00:00Z,4-1,"[""W"",""W"",""D"",""W"",""W""]","[""W"",""W"",""D"",""W"",""W"",""L"",""L"",""W"",""L"",""D""]"
arg,ARG,阿根廷,Argentina,can,CAN,加拿大,Canada,3,3,0,0,9,0,2,1,2,2,0,2024-07-09T00:00:00Z,2-0,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,civ,CIV,科特迪瓦,Cote d'Ivoire,2,2,0,0,6,1,2,0,2,2,0,2006-06-10T00:00:00Z,2-1,"[""W"",""W""]","[""W"",""W""]"
arg,ARG,阿根廷,Argentina,cod,COD,刚果（金）,DR Congo,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,col,COL,哥伦比亚,Colombia,43,21,12,10,74,42,37,6,17,9,3,2025-06-10T00:00:00Z,1-1,"[""D"",""L"",""W"",""W"",""D""]","[""D"",""L"",""W"",""W"",""D"",""D"",""L"",""D"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,cpv,CPV,佛得角,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,cro,CRO,克罗地亚,Croatia,6,3,1,2,8,7,3,3,5,3,2,2022-12-13T00:00:00Z,3-0,"[""W"",""L"",""W"",""L"",""W""]","[""W"",""L"",""W"",""L"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,cuw,CUW,库拉索,Curacao,1,1,0,0,7,0,0,1,0,0,0,2023-03-28T00:00:00Z,7-0,"[""W""]","[""W""]"
arg,ARG,阿根廷,Argentina,cze,CZE,捷克,Czechia,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,ecu,ECU,厄瓜多尔,Ecuador,42,24,12,6,99,37,35,7,16,12,0,2025-09-09T00:00:00Z,1-0,"[""L"",""D"",""W"",""W"",""D""]","[""L"",""D"",""W"",""W"",""D"",""W"",""W"",""W"",""W"",""L""]"
arg,ARG,阿根廷,Argentina,egy,EGY,埃及,Egypt,2,2,0,0,8,0,1,1,1,1,0,2008-03-26T00:00:00Z,0-2,"[""W"",""W""]","[""W"",""W""]"
arg,ARG,阿根廷,Argentina,eng,ENG,英格兰,England,15,3,6,6,18,22,5,10,6,2,3,2005-11-12T00:00:00Z,3-2,"[""L"",""L"",""D"",""D"",""D""]","[""L"",""L"",""D"",""D"",""D"",""W"",""L"",""D"",""D"",""L""]"
arg,ARG,阿根廷,Argentina,esp,ESP,西班牙,Spain,14,6,2,6,18,19,1,13,1,1,0,2018-03-27T00:00:00Z,6-1,"[""L"",""W"",""L"",""L"",""W""]","[""L"",""W"",""L"",""L"",""W"",""L"",""D"",""D"",""L"",""W""]"
arg,ARG,阿根廷,Argentina,fra,FRA,法国,France,13,6,4,3,18,14,5,8,4,1,1,2022-12-18T00:00:00Z,3-3,"[""D"",""L"",""W"",""W"",""L""]","[""D"",""L"",""W"",""W"",""L"",""W"",""D"",""W"",""D"",""W""]"
arg,ARG,阿根廷,Argentina,ger,GER,德国,Germany,23,10,6,7,34,33,10,13,8,3,4,2019-10-09T00:00:00Z,2-2,"[""D"",""W"",""L"",""W"",""L""]","[""D"",""W"",""L"",""W"",""L"",""W"",""D"",""D"",""D"",""W""]"
arg,ARG,阿根廷,Argentina,gha,GHA,加纳,Ghana,1,1,0,0,2,0,0,1,0,0,0,2009-09-30T00:00:00Z,2-0,"[""W""]","[""W""]"
arg,ARG,阿根廷,Argentina,hai,HAI,海地,Haiti,3,3,0,0,12,1,1,2,1,1,0,2018-05-29T00:00:00Z,4-0,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,irn,IRN,伊朗,IR Iran,2,1,1,0,2,1,2,0,2,1,0,2014-06-21T00:00:00Z,1-0,"[""W"",""D""]","[""W"",""D""]"
arg,ARG,阿根廷,Argentina,irq,IRQ,伊拉克,Iraq,1,1,0,0,4,0,0,1,1,1,0,2018-10-11T00:00:00Z,4-0,"[""W""]","[""W""]"
arg,ARG,阿根廷,Argentina,jor,JOR,约旦,Jordan,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,jpn,JPN,日本,Japan,7,6,0,1,15,4,4,3,2,2,0,2010-10-08T00:00:00Z,1-0,"[""L"",""W"",""W"",""W"",""W""]","[""L"",""W"",""W"",""W"",""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,kor,KOR,韩国,Korea Republic,3,3,0,0,8,2,2,1,2,2,0,2010-06-17T00:00:00Z,4-1,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,ksa,KSA,沙特阿拉伯,Saudi Arabia,5,2,2,1,8,5,2,3,3,1,1,2022-11-22T00:00:00Z,1-2,"[""L"",""D"",""W"",""W"",""D""]","[""L"",""D"",""W"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,mar,MAR,摩洛哥,Morocco,3,3,0,0,5,1,0,3,0,0,0,2019-03-26T00:00:00Z,0-1,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,mex,MEX,墨西哥,Mexico,32,16,12,4,53,28,12,20,21,13,2,2022-11-26T00:00:00Z,2-0,"[""W"",""W"",""W"",""W"",""D""]","[""W"",""W"",""W"",""W"",""D"",""W"",""W"",""W"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,ned,NED,荷兰,Netherlands,10,1,5,4,8,15,7,3,6,0,2,2022-12-09T00:00:00Z,2-2,"[""D"",""D"",""D"",""L"",""D""]","[""D"",""D"",""D"",""L"",""D"",""L"",""D"",""W"",""L"",""L""]"
arg,ARG,阿根廷,Argentina,nor,NOR,挪威,Norway,2,0,0,2,1,3,0,2,0,0,0,2007-08-22T00:00:00Z,2-1,"[""L"",""L""]","[""L"",""L""]"
arg,ARG,阿根廷,Argentina,nzl,NZL,新西兰,New Zealand,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,pan,PAN,巴拿马,Panama,3,3,0,0,10,1,1,2,1,1,0,2023-03-23T00:00:00Z,2-0,"[""W"",""W"",""W""]","[""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,par,PAR,巴拉圭,Paraguay,107,56,34,17,216,110,84,23,19,13,0,2024-11-14T00:00:00Z,2-1,"[""L"",""W"",""D"",""W"",""D""]","[""L"",""W"",""D"",""W"",""D"",""D"",""L"",""D"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,por,POR,葡萄牙,Portugal,8,5,1,2,13,7,1,7,4,2,2,2014-11-18T00:00:00Z,1-0,"[""L"",""W"",""L"",""W"",""W""]","[""L"",""W"",""L"",""W"",""W"",""W"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,qat,QAT,卡塔尔,Qatar,2,2,0,0,5,0,1,1,1,1,0,2019-06-23T00:00:00Z,0-2,"[""W"",""W""]","[""W"",""W""]"
arg,ARG,阿根廷,Argentina,rsa,RSA,南非,South Africa,2,1,1,0,3,1,0,2,0,0,0,1998-05-25T00:00:00Z,2-0,"[""W"",""D""]","[""W"",""D""]"
arg,ARG,阿根廷,Argentina,sco,SCO,苏格兰,Scotland,4,2,1,1,5,3,0,4,0,0,0,2008-11-19T00:00:00Z,0-1,"[""W"",""L"",""W"",""D""]","[""W"",""L"",""W"",""D""]"
arg,ARG,阿根廷,Argentina,sen,SEN,塞内加尔,Senegal,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,sui,SUI,瑞士,Switzerland,7,5,2,0,15,3,2,5,2,2,0,2014-07-01T00:00:00Z,1-0,"[""W"",""W"",""D"",""D"",""W""]","[""W"",""W"",""D"",""D"",""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,swe,SWE,瑞典,Sweden,3,1,1,1,6,6,2,1,2,0,1,2013-02-06T00:00:00Z,2-3,"[""W"",""D"",""L""]","[""W"",""D"",""L""]"
arg,ARG,阿根廷,Argentina,tun,TUN,突尼斯,Tunisia,1,1,0,0,2,1,1,0,1,1,0,2005-06-15T00:00:00Z,2-1,"[""W""]","[""W""]"
arg,ARG,阿根廷,Argentina,tur,TUR,土耳其,Turkiye,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
arg,ARG,阿根廷,Argentina,uru,URU,乌拉圭,Uruguay,183,85,44,54,290,211,136,47,24,14,7,2025-03-21T00:00:00Z,0-1,"[""W"",""L"",""W"",""W"",""W""]","[""W"",""L"",""W"",""W"",""W"",""D"",""D"",""W"",""W"",""L""]"
arg,ARG,阿根廷,Argentina,usa,USA,美国,United States,11,7,2,2,34,9,5,6,5,4,1,2016-06-21T00:00:00Z,0-4,"[""W"",""D"",""D"",""W"",""W""]","[""W"",""D"",""D"",""W"",""W"",""L"",""L"",""W"",""W"",""W""]"
arg,ARG,阿根廷,Argentina,uzb,UZB,乌兹别克斯坦,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,alg,ALG,阿尔及利亚,Algeria,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,arg,ARG,阿根廷,Argentina,9,1,1,7,8,16,4,5,3,0,3,2023-06-15T00:00:00Z,2-0,"[""L"",""L"",""L"",""L"",""L""]","[""L"",""L"",""L"",""L"",""L"",""L"",""D"",""L"",""W""]"
aus,AUS,澳大利亚,Australia,aut,AUT,奥地利,Austria,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,bel,BEL,比利时,Belgium,1,0,0,1,0,2,0,1,0,0,0,2014-09-04T00:00:00Z,2-0,"[""L""]","[""L""]"
aus,AUS,澳大利亚,Australia,bih,BIH,波黑,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,bra,BRA,巴西,Brazil,8,1,1,6,1,21,4,4,4,1,2,2017-06-13T00:00:00Z,0-4,"[""L"",""L"",""L"",""W"",""L""]","[""L"",""L"",""L"",""W"",""L"",""D"",""L"",""L""]"
aus,AUS,澳大利亚,Australia,can,CAN,加拿大,Canada,10,6,1,3,16,11,2,8,1,1,0,2025-10-10T00:00:00Z,0-1,"[""W"",""W"",""W"",""L"",""W""]","[""W"",""W"",""W"",""L"",""W"",""L"",""D"",""W"",""L"",""W""]"
aus,AUS,澳大利亚,Australia,civ,CIV,科特迪瓦,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,cod,COD,刚果（金）,DR Congo,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,col,COL,哥伦比亚,Colombia,4,0,1,3,2,7,0,4,2,0,1,2025-11-18T00:00:00Z,3-0,"[""L"",""D"",""L"",""L""]","[""L"",""D"",""L"",""L""]"
aus,AUS,澳大利亚,Australia,cpv,CPV,佛得角,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,cro,CRO,克罗地亚,Croatia,6,2,2,2,6,11,1,5,2,0,1,2014-06-06T00:00:00Z,1-0,"[""L"",""D"",""L"",""D"",""W""]","[""L"",""D"",""L"",""D"",""W"",""W""]"
aus,AUS,澳大利亚,Australia,cuw,CUW,库拉索,Curacao,1,1,0,0,5,1,1,0,0,0,0,2026-03-31T00:00:00Z,5-1,"[""W""]","[""W""]"
aus,AUS,澳大利亚,Australia,cze,CZE,捷克,Czechia,2,1,0,1,5,3,0,2,1,1,0,2018-06-01T00:00:00Z,0-4,"[""W"",""L""]","[""W"",""L""]"
aus,AUS,澳大利亚,Australia,ecu,ECU,厄瓜多尔,Ecuador,3,1,0,2,7,7,0,3,1,0,1,2023-03-28T00:00:00Z,1-2,"[""L"",""W"",""L""]","[""L"",""W"",""L""]"
aus,AUS,澳大利亚,Australia,egy,EGY,埃及,Egypt,2,0,1,1,0,3,1,1,1,0,0,2010-11-17T00:00:00Z,3-0,"[""L"",""D""]","[""L"",""D""]"
aus,AUS,澳大利亚,Australia,eng,ENG,英格兰,England,8,1,2,5,6,9,0,8,0,0,0,2023-10-13T00:00:00Z,1-0,"[""L"",""L"",""W"",""L"",""D""]","[""L"",""L"",""W"",""L"",""D"",""L"",""D"",""L""]"
aus,AUS,澳大利亚,Australia,esp,ESP,西班牙,Spain,1,0,0,1,0,3,1,0,1,0,1,2014-06-23T00:00:00Z,0-3,"[""L""]","[""L""]"
aus,AUS,澳大利亚,Australia,fra,FRA,法国,France,6,1,1,4,4,14,4,2,4,1,3,2022-11-22T00:00:00Z,4-1,"[""L"",""L"",""L"",""D"",""W""]","[""L"",""L"",""L"",""D"",""W"",""L""]"
aus,AUS,澳大利亚,Australia,ger,GER,德国,Germany,6,1,1,4,9,17,4,2,2,0,2,2017-06-19T00:00:00Z,2-3,"[""L"",""D"",""W"",""L"",""L""]","[""L"",""D"",""W"",""L"",""L"",""L""]"
aus,AUS,澳大利亚,Australia,gha,GHA,加纳,Ghana,7,4,2,1,8,4,2,5,3,1,0,2010-06-19T00:00:00Z,1-1,"[""D"",""W"",""D"",""W"",""L""]","[""D"",""W"",""D"",""W"",""L"",""W"",""W""]"
aus,AUS,澳大利亚,Australia,hai,HAI,海地,Haiti,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
aus,AUS,澳大利亚,Australia,irn,IRN,伊朗,IR Iran,7,2,2,3,8,8,6,1,0,0,0,1997-11-29T00:00:00Z,2-2,"[""D"",""D"",""L"",""L"",""L""]","[""D"",""D"",""L"",""L"",""L"",""W"",""W""]"
aus,AUS,澳大利亚,Australia,irq,IRQ,伊拉克,Iraq,11,7,2,2,14,8,10,1,5,2,2,2017-03-23T00:00:00Z,1-1,"[""D"",""W"",""W"",""W"",""W""]","[""D"",""W"",""W"",""W"",""W"",""L"",""W"",""L"",""W"",""D""]"
aus,AUS,澳大利亚,Australia,jor,JOR,约旦,Jordan,8,5,0,3,14,7,7,1,3,2,1,2022-06-01T00:00:00Z,2-1,"[""W"",""W"",""W"",""L"",""W""]","[""W"",""W"",""W"",""L"",""W"",""L"",""W"",""L""]"
aus,AUS,澳大利亚,Australia,jpn,JPN,日本,Japan,28,7,10,11,32,40,18,10,6,2,2,2025-06-05T00:00:00Z,1-0,"[""W"",""D"",""L"",""L"",""L""]","[""W"",""D"",""L"",""L"",""L"",""D"",""L"",""L"",""D"",""D""]"
aus,AUS,澳大利亚,Australia,kor,KOR,韩国,Korea Republic,29,9,11,9,29,30,17,12,5,2,2,2024-02-02T00:00:00Z,1-2,"[""L"",""L"",""D"",""W"",""L""]","[""L"",""L"",""D"",""W"",""L"",""D"",""W"",""D"",""L"",""L""]"
aus,AUS,澳大利亚,Australia,ksa,KSA,沙特阿拉伯,Saudi Arabia,12,6,4,2,20,12,9,3,1,1,0,2025-06-10T00:00:00Z,1-2,"[""W"",""D"",""L"",""D"",""W""]","[""W"",""D"",""L"",""D"",""W"",""D"",""W"",""W"",""W"",""L""]"
aus,AUS,澳大利亚,Australia,mar,MAR,摩洛哥,Morocco,1,1,0,0,1,0,1,0,1,1,0,1987-06-09T00:00:00Z,1-0,"[""W""]","[""W""]"
aus,AUS,澳大利亚,Australia,mex,MEX,墨西哥,Mexico,5,2,3,0,10,6,2,3,3,2,0,2023-09-09T00:00:00Z,2-2,"[""D"",""W"",""W"",""D"",""D""]","[""D"",""W"",""W"",""D"",""D""]"
aus,AUS,澳大利亚,Australia,ned,NED,荷兰,Netherlands,4,1,2,1,5,5,1,3,1,0,1,2014-06-18T00:00:00Z,2-3,"[""L"",""D"",""W"",""D""]","[""L"",""D"",""W"",""D""]"
aus,AUS,澳大利亚,Australia,nor,NOR,挪威,Norway,3,1,1,1,4,6,0,3,1,0,0,2018-03-23T00:00:00Z,4-1,"[""L"",""D"",""W""]","[""L"",""D"",""W""]"
aus,AUS,澳大利亚,Australia,nzl,NZL,新西兰,New Zealand,67,44,10,13,160,69,54,13,5,5,0,2025-09-09T00:00:00Z,1-3,"[""W"",""W"",""W"",""W"",""W""]","[""W"",""W"",""W"",""W"",""W"",""W"",""W"",""W"",""W"",""L""]"
aus,AUS,澳大利亚,Australia,pan,PAN,巴拿马,Panama,0,0,0,0,0,0,0,0,0,0,0,,,[],[]
