pair_id,team_low_id,team_high_id,team_low_code,team_high_code,team_low_name,team_high_name,direct_matches,competitive_matches,friendly_matches,neutral_matches,last_match_date,last_match_score,coverage_status,verification_status,is_group_stage_pair,group_stage_match_no,model_fallback,source_notes
alg-cpv,alg,cpv,ALG,CPV,阿尔及利亚,佛得角,6,4,2,0,2023-10-12T00:00:00Z,5-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-cro,alg,cro,ALG,CRO,阿尔及利亚,克罗地亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-cuw,alg,cuw,ALG,CUW,阿尔及利亚,库拉索,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-cze,alg,cze,ALG,CZE,阿尔及利亚,捷克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-ecu,alg,ecu,ALG,ECU,阿尔及利亚,厄瓜多尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-egy,alg,egy,ALG,EGY,阿尔及利亚,埃及,23,18,5,7,2023-10-16T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-eng,alg,eng,ALG,ENG,阿尔及利亚,英格兰,1,1,0,1,2010-06-18T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-esp,alg,esp,ALG,ESP,阿尔及利亚,西班牙,1,1,0,1,1986-06-12T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-fra,alg,fra,ALG,FRA,阿尔及利亚,法国,1,0,1,0,2001-10-06T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-ger,alg,ger,ALG,GER,阿尔及利亚,德国,3,2,1,2,2014-06-30T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-gha,alg,gha,ALG,GHA,阿尔及利亚,加纳,11,8,3,7,2022-01-05T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-hai,alg,hai,ALG,HAI,阿尔及利亚,海地,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-irn,alg,irn,ALG,IRN,阿尔及利亚,伊朗,3,0,3,2,2022-06-12T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-irq,alg,irq,ALG,IRQ,阿尔及利亚,伊拉克,8,4,4,3,2025-12-09T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-jor,alg,jor,ALG,JOR,阿尔及利亚,约旦,2,1,1,1,2004-05-30T00:00:00Z,1-1,direct_history,verified_from_matches,1,44,direct_h2h,direct_history_from_matches
alg-jpn,alg,jpn,ALG,JPN,阿尔及利亚,日本,1,1,0,0,1986-05-11T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-kor,alg,kor,ALG,KOR,阿尔及利亚,韩国,3,2,1,3,2014-06-22T00:00:00Z,2-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-ksa,alg,ksa,ALG,KSA,阿尔及利亚,沙特阿拉伯,6,0,6,1,2025-11-18T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-mar,alg,mar,ALG,MAR,阿尔及利亚,摩洛哥,26,14,12,4,2021-12-11T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-mex,alg,mex,ALG,MEX,阿尔及利亚,墨西哥,2,0,2,1,2020-10-13T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-ned,alg,ned,ALG,NED,阿尔及利亚,荷兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-nor,alg,nor,ALG,NOR,阿尔及利亚,挪威,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-nzl,alg,nzl,ALG,NZL,阿尔及利亚,新西兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-pan,alg,pan,ALG,PAN,阿尔及利亚,巴拿马,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-par,alg,par,ALG,PAR,阿尔及利亚,巴拉圭,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-por,alg,por,ALG,POR,阿尔及利亚,葡萄牙,1,0,1,0,2018-06-07T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-qat,alg,qat,ALG,QAT,阿尔及利亚,卡塔尔,6,2,4,2,2021-12-15T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-rsa,alg,rsa,ALG,RSA,阿尔及利亚,南非,5,4,1,2,2024-03-26T00:00:00Z,3-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-sco,alg,sco,ALG,SCO,阿尔及利亚,苏格兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
alg-sen,alg,sen,ALG,SEN,阿尔及利亚,塞内加尔,25,14,11,5,2023-09-12T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-sui,alg,sui,ALG,SUI,阿尔及利亚,瑞士,2,0,2,0,1986-05-06T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-swe,alg,swe,ALG,SWE,阿尔及利亚,瑞典,6,0,6,0,2025-06-10T00:00:00Z,4-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-tun,alg,tun,ALG,TUN,阿尔及利亚,突尼斯,38,16,22,5,2023-06-20T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-tur,alg,tur,ALG,TUR,阿尔及利亚,土耳其,3,0,3,0,1979-02-28T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-uru,alg,uru,ALG,URU,阿尔及利亚,乌拉圭,2,0,2,1,2026-03-31T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-usa,alg,usa,ALG,USA,阿尔及利亚,美国,1,1,0,1,2010-06-23T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
alg-uzb,alg,uzb,ALG,UZB,阿尔及利亚,乌兹别克斯坦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-aus,arg,aus,ARG,AUS,阿根廷,澳大利亚,9,4,5,3,2023-06-15T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-aut,arg,aut,ARG,AUT,阿根廷,奥地利,2,0,2,0,1990-05-03T00:00:00Z,1-1,direct_history,verified_from_matches,1,43,direct_h2h,direct_history_from_matches
arg-bel,arg,bel,ARG,BEL,阿根廷,比利时,5,4,1,4,2014-07-05T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-bih,arg,bih,ARG,BIH,阿根廷,波黑,3,1,2,2,2014-06-15T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-bra,arg,bra,ARG,BRA,阿根廷,巴西,110,87,23,31,2025-03-25T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-can,arg,can,ARG,CAN,阿根廷,加拿大,3,2,1,2,2024-07-09T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-civ,arg,civ,ARG,CIV,阿根廷,科特迪瓦,2,2,0,2,2006-06-10T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-cod,arg,cod,ARG,COD,阿根廷,刚果（金）,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-col,arg,col,ARG,COL,阿根廷,哥伦比亚,43,37,6,17,2025-06-10T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-cpv,arg,cpv,ARG,CPV,阿根廷,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-cro,arg,cro,ARG,CRO,阿根廷,克罗地亚,6,3,3,5,2022-12-13T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-cuw,arg,cuw,ARG,CUW,阿根廷,库拉索,1,0,1,0,2023-03-28T00:00:00Z,7-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-cze,arg,cze,ARG,CZE,阿根廷,捷克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-ecu,arg,ecu,ARG,ECU,阿根廷,厄瓜多尔,42,35,7,16,2025-09-09T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-egy,arg,egy,ARG,EGY,阿根廷,埃及,2,1,1,1,2008-03-26T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-eng,arg,eng,ARG,ENG,阿根廷,英格兰,15,5,10,6,2005-11-12T00:00:00Z,3-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-esp,arg,esp,ARG,ESP,阿根廷,西班牙,14,1,13,1,2018-03-27T00:00:00Z,6-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-fra,arg,fra,ARG,FRA,阿根廷,法国,13,5,8,4,2022-12-18T00:00:00Z,3-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-ger,arg,ger,ARG,GER,阿根廷,德国,23,10,13,8,2019-10-09T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-gha,arg,gha,ARG,GHA,阿根廷,加纳,1,0,1,0,2009-09-30T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-hai,arg,hai,ARG,HAI,阿根廷,海地,3,1,2,1,2018-05-29T00:00:00Z,4-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-irn,arg,irn,ARG,IRN,阿根廷,伊朗,2,2,0,2,2014-06-21T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-irq,arg,irq,ARG,IRQ,阿根廷,伊拉克,1,0,1,1,2018-10-11T00:00:00Z,4-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-jor,arg,jor,ARG,JOR,阿根廷,约旦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,70,contextual_fallback,four_independent_sources_checked_no_record
arg-jpn,arg,jpn,ARG,JPN,阿根廷,日本,7,4,3,2,2010-10-08T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-kor,arg,kor,ARG,KOR,阿根廷,韩国,3,2,1,2,2010-06-17T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-ksa,arg,ksa,ARG,KSA,阿根廷,沙特阿拉伯,5,2,3,3,2022-11-22T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-mar,arg,mar,ARG,MAR,阿根廷,摩洛哥,3,0,3,0,2019-03-26T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-mex,arg,mex,ARG,MEX,阿根廷,墨西哥,32,12,20,21,2022-11-26T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-ned,arg,ned,ARG,NED,阿根廷,荷兰,10,7,3,6,2022-12-09T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-nor,arg,nor,ARG,NOR,阿根廷,挪威,2,0,2,0,2007-08-22T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-nzl,arg,nzl,ARG,NZL,阿根廷,新西兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-pan,arg,pan,ARG,PAN,阿根廷,巴拿马,3,1,2,1,2023-03-23T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-par,arg,par,ARG,PAR,阿根廷,巴拉圭,107,84,23,19,2024-11-14T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-por,arg,por,ARG,POR,阿根廷,葡萄牙,8,1,7,4,2014-11-18T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-qat,arg,qat,ARG,QAT,阿根廷,卡塔尔,2,1,1,1,2019-06-23T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-rsa,arg,rsa,ARG,RSA,阿根廷,南非,2,0,2,0,1998-05-25T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-sco,arg,sco,ARG,SCO,阿根廷,苏格兰,4,0,4,0,2008-11-19T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-sen,arg,sen,ARG,SEN,阿根廷,塞内加尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-sui,arg,sui,ARG,SUI,阿根廷,瑞士,7,2,5,2,2014-07-01T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-swe,arg,swe,ARG,SWE,阿根廷,瑞典,3,2,1,2,2013-02-06T00:00:00Z,2-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-tun,arg,tun,ARG,TUN,阿根廷,突尼斯,1,1,0,1,2005-06-15T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-tur,arg,tur,ARG,TUR,阿根廷,土耳其,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
arg-uru,arg,uru,ARG,URU,阿根廷,乌拉圭,183,136,47,24,2025-03-21T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-usa,arg,usa,ARG,USA,阿根廷,美国,11,5,6,5,2016-06-21T00:00:00Z,0-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
arg-uzb,arg,uzb,ARG,UZB,阿根廷,乌兹别克斯坦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-aut,aus,aut,AUS,AUT,澳大利亚,奥地利,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-bel,aus,bel,AUS,BEL,澳大利亚,比利时,1,0,1,0,2014-09-04T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-bih,aus,bih,AUS,BIH,澳大利亚,波黑,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-bra,aus,bra,AUS,BRA,澳大利亚,巴西,8,4,4,4,2017-06-13T00:00:00Z,0-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-can,aus,can,AUS,CAN,澳大利亚,加拿大,10,2,8,1,2025-10-10T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-civ,aus,civ,AUS,CIV,澳大利亚,科特迪瓦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-cod,aus,cod,AUS,COD,澳大利亚,刚果（金）,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-col,aus,col,AUS,COL,澳大利亚,哥伦比亚,4,0,4,2,2025-11-18T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-cpv,aus,cpv,AUS,CPV,澳大利亚,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-cro,aus,cro,AUS,CRO,澳大利亚,克罗地亚,6,1,5,2,2014-06-06T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-cuw,aus,cuw,AUS,CUW,澳大利亚,库拉索,1,1,0,0,2026-03-31T00:00:00Z,5-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-cze,aus,cze,AUS,CZE,澳大利亚,捷克,2,0,2,1,2018-06-01T00:00:00Z,0-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-ecu,aus,ecu,AUS,ECU,澳大利亚,厄瓜多尔,3,0,3,1,2023-03-28T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-egy,aus,egy,AUS,EGY,澳大利亚,埃及,2,1,1,1,2010-11-17T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-eng,aus,eng,AUS,ENG,澳大利亚,英格兰,8,0,8,0,2023-10-13T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-esp,aus,esp,AUS,ESP,澳大利亚,西班牙,1,1,0,1,2014-06-23T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-fra,aus,fra,AUS,FRA,澳大利亚,法国,6,4,2,4,2022-11-22T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-ger,aus,ger,AUS,GER,澳大利亚,德国,6,4,2,2,2017-06-19T00:00:00Z,2-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-gha,aus,gha,AUS,GHA,澳大利亚,加纳,7,2,5,3,2010-06-19T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-hai,aus,hai,AUS,HAI,澳大利亚,海地,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-irn,aus,irn,AUS,IRN,澳大利亚,伊朗,7,6,1,0,1997-11-29T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-irq,aus,irq,AUS,IRQ,澳大利亚,伊拉克,11,10,1,5,2017-03-23T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-jor,aus,jor,AUS,JOR,澳大利亚,约旦,8,7,1,3,2022-06-01T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-jpn,aus,jpn,AUS,JPN,澳大利亚,日本,28,18,10,6,2025-06-05T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-kor,aus,kor,AUS,KOR,澳大利亚,韩国,29,17,12,5,2024-02-02T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-ksa,aus,ksa,AUS,KSA,澳大利亚,沙特阿拉伯,12,9,3,1,2025-06-10T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-mar,aus,mar,AUS,MAR,澳大利亚,摩洛哥,1,1,0,1,1987-06-09T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-mex,aus,mex,AUS,MEX,澳大利亚,墨西哥,5,2,3,3,2023-09-09T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-ned,aus,ned,AUS,NED,澳大利亚,荷兰,4,1,3,1,2014-06-18T00:00:00Z,2-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-nor,aus,nor,AUS,NOR,澳大利亚,挪威,3,0,3,1,2018-03-23T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-nzl,aus,nzl,AUS,NZL,澳大利亚,新西兰,67,54,13,5,2025-09-09T00:00:00Z,1-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-pan,aus,pan,AUS,PAN,澳大利亚,巴拿马,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-par,aus,par,AUS,PAR,澳大利亚,巴拉圭,5,0,5,0,2010-10-09T00:00:00Z,1-0,direct_history,verified_from_matches,1,60,direct_h2h,direct_history_from_matches
aus-por,aus,por,AUS,POR,澳大利亚,葡萄牙,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-qat,aus,qat,AUS,QAT,澳大利亚,卡塔尔,5,4,1,0,2014-10-14T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-rsa,aus,rsa,AUS,RSA,澳大利亚,南非,21,1,20,2,2014-05-26T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-sco,aus,sco,AUS,SCO,澳大利亚,苏格兰,5,2,3,0,2012-08-15T00:00:00Z,3-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-sen,aus,sen,AUS,SEN,澳大利亚,塞内加尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aus-sui,aus,sui,AUS,SUI,澳大利亚,瑞士,1,0,1,0,2010-09-03T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-swe,aus,swe,AUS,SWE,澳大利亚,瑞典,5,0,5,0,1996-02-28T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-tun,aus,tun,AUS,TUN,澳大利亚,突尼斯,2,2,0,2,2022-11-26T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-tur,aus,tur,AUS,TUR,澳大利亚,土耳其,2,0,2,0,2004-05-24T00:00:00Z,0-1,direct_history,verified_from_matches,1,6,direct_h2h,direct_history_from_matches
aus-uru,aus,uru,AUS,URU,澳大利亚,乌拉圭,7,5,2,1,2007-06-02T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aus-usa,aus,usa,AUS,USA,澳大利亚,美国,4,0,4,1,2025-10-14T00:00:00Z,2-1,direct_history,verified_from_matches,1,32,direct_h2h,direct_history_from_matches
aus-uzb,aus,uzb,AUS,UZB,澳大利亚,乌兹别克斯坦,5,5,0,3,2024-01-23T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-bel,aut,bel,AUT,BEL,奥地利,比利时,16,6,10,0,2023-10-13T00:00:00Z,2-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-bih,aut,bih,AUT,BIH,奥地利,波黑,7,6,1,0,2025-11-18T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-bra,aut,bra,AUT,BRA,奥地利,巴西,10,2,8,2,2018-06-10T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-can,aut,can,AUT,CAN,奥地利,加拿大,1,0,1,0,2006-03-01T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-civ,aut,civ,AUT,CIV,奥地利,科特迪瓦,2,0,2,0,2012-11-14T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
aut-cod,aut,cod,AUT,COD,奥地利,刚果（金）,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aut-col,aut,col,AUT,COL,奥地利,哥伦比亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aut-cpv,aut,cpv,AUT,CPV,奥地利,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
aut-cro,aut,cro,AUT,CRO,奥地利,克罗地亚,7,3,4,0,2022-09-25T00:00:00Z,1-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
